性质,院校名称,专业组,专业号,批次,招生专业,公共课（科目）[分值：100/100],专业基础课（科目）[分值：100],专业综合课（科目）[分值：200],专综类型,学费,教学地点,住宿费,前置要求
民办,湛江科技学院,3,4,普通批,市场营销,政治 / 英语,管理学,市场营销学,统考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,3,5,普通批,国际商务,政治 / 英语,管理学,国际企业管理,校考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,3,6,普通批,大数据管理与应用,政治 / 英语,管理学,python程序设计基础,校考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,4,7,普通批,会计学,政治 / 英语,管理学,基础会计学,统考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,4,8,普通批,财务管理,政治 / 英语,管理学,基础会计学,统考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,4,9,普通批,审计学,政治 / 英语,管理学,审计学原理,校考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,5,10,普通批,计算机科学与技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,33000,新湖校区,2800-3500,不限
民办,湛江科技学院,5,11,普通批,物联网工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,33000,新湖校区,2800-3500,不限
民办,湛江科技学院,5,12,普通批,数字媒体技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,33000,新湖校区,2800-3500,不限
民办,湛江科技学院,6,13,普通批,机械设计制造及其自动化,政治 / 英语,高等数学,机械工程基础,统考,33000,新湖校区,2800-3500,不限
民办,湛江科技学院,6,14,普通批,汽车服务工程,政治 / 英语,高等数学,机械工程基础,统考,33800,新湖校区,2800-3500,不限
民办,湛江科技学院,7,15,普通批,电气工程及其自动化,政治 / 英语,高等数学,电子技术基础,统考,33000,新湖校区,2800-3500,不限
民办,湛江科技学院,7,16,普通批,电子信息工程,政治 / 英语,高等数学,电子技术基础,统考,33000,新湖校区,2800-3500,不限
民办,湛江科技学院,8,17,普通批,英语,政治 / 英语,大学语文,英语基础与写作,统考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,8,18,普通批,商务英语,政治 / 英语,大学语文,英语基础与写作,统考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,9,19,普通批,视觉传达设计,政治 / 英语,艺术概论,设计基础,统考,35000,新湖校区,2800-3500,限招
民办,湛江科技学院,9,20,普通批,环境设计,政治 / 英语,艺术概论,设计基础,统考,35000,新湖校区,2800-3500,限招
民办,湛江科技学院,9,21,普通批,产品设计,政治 / 英语,艺术概论,设计基础,统考,35000,新湖校区,2800-3500,限招
民办,湛江科技学院,9,22,普通批,动画,政治 / 英语,艺术概论,设计基础,统考,35000,新湖校区,2800-3500,限招
民办,湛江科技学院,9,23,普通批,服装与服饰设计,政治 / 英语,艺术概论,设计基础,统考,35000,新湖校区,2800-3500,限招
民办,湛江科技学院,10,24,普通批,汉语言文学,政治 / 英语,大学语文,汉语言文学学科基础,统考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,10,25,普通批,汉语国际教育,政治 / 英语,大学语文,汉语言文学学科基础,统考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,11,26,普通批,学前教育,政治 / 英语,教育理论,学前教育基础,统考,33000,新湖校区,2800-3500,不限
民办,湛江科技学院,12,27,普通批,公共事业管理,政治 / 英语,管理学,社会保障学,校考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,13,28,普通批,旅游管理,政治 / 英语,管理学,旅游管理概论,校考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,14,29,普通批,信息管理与信息系统,政治 / 英语,管理学,管理信息系统,校考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,15,30,普通批,工程管理,政治 / 英语,管理学,工程项目管理,校考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,16,31,普通批,工程造价,政治 / 英语,高等数学,建设工程造价管理,校考,33000,新湖校区,2800-3500,不限
民办,湛江科技学院,17,32,普通批,土木工程,政治 / 英语,高等数学,土木工程概论,校考,33000,新湖校区,2800-3500,不限
民办,湛江科技学院,18,33,普通批,安全工程,政治 / 英语,高等数学,安全学原理,校考,33000,新湖校区,2800-3500,不限
民办,湛江科技学院,19,34,普通批,园林,政治 / 英语,生态学基础,园林花卉学,校考,33000,新湖校区,2800-3500,不限
民办,湛江科技学院,20,35,普通批,翻译,政治 / 英语,大学语文,英语写作与翻译,校考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,21,36,普通批,日语,政治,大学语文,"基础日语、专业课：日语阅读与写作",校考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,22,37,普通批,网络与新媒体,政治 / 英语,大学语文,新闻采访与写作,校考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,23,38,普通批,音乐学,政治 / 英语,艺术概论,专业测试,校考,38000,新湖校区,2800-3500,不限
民办,湛江科技学院,24,39,普通批,音乐教育,政治 / 英语,艺术概论,音乐教育专业综合测试,校考,38000,新湖校区,2800-3500,不限
民办,湛江科技学院,25,40,普通批,舞蹈编导,政治 / 英语,艺术概论,舞蹈基本功与剧目现场测试,校考,38000,新湖校区,2800-3500,不限
民办,湛江科技学院,26,41,普通批,摄影,政治 / 英语,艺术概论,摄影器材原理,校考,35000,新湖校区,2800-3500,不限
民办,湛江科技学院,27,42,普通批,小学教育（语文）,政治 / 英语,教育理论,课程与教学论,校考,33000,新湖校区,2800-3500,不限
民办,湛江科技学院,27,43,普通批,小学教育（数学）,政治 / 英语,教育理论,课程与教学论,校考,33000,新湖校区,2800-3500,不限
民办,湛江科技学院,27,44,普通批,小学教育（英语）,政治 / 英语,教育理论,课程与教学论,校考,33000,新湖校区,2800-3500,不限
民办,湛江科技学院,28,45,普通批,体育教育,政治 / 英语,教育理论,学校体育学,校考,33800,新湖校区,2800-3500,限招
民办,湛江科技学院,29,46,普通批,护理学,政治 / 英语,生理学,基础护理学,校考,33800,新湖校区,2800-3500,限招
民办,湛江科技学院,30,47,普通批,中药学,政治 / 英语,生理学,中药学,校考,33800,新湖校区,2800-3500,不限
民办,电子科技大学中山学院,01,001,普通批,财务管理,政治 / 英语,管理学,基础会计学,统考,29000,校本部,1500,不限
民办,电子科技大学中山学院,02,002,普通批,金融学,政治 / 英语,经济学,金融学,统考,29000,校本部,1500,不限
民办,电子科技大学中山学院,03,003,普通批,英语,政治 / 英语,大学语文,英语基础与写作,统考,29000,校本部,1500,不限
民办,广东工商职业技术大学,01,001,普通批,机械设计制造及其自动化,政治 / 英语,高等数学,机械工程基础,统考,33800,大旺校区,2300-2800,不限
民办,广东工商职业技术大学,01,002,普通批,机器人技术,政治 / 英语,高等数学,机械工程基础,统考,33800,星湖校区,2300-2800,不限
民办,广东工商职业技术大学,02,004,普通批,大数据工程技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,33800,星湖校区,2300-2800,不限
民办,广东工商职业技术大学,03,005,普通批,软件工程技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,33800,星湖校区,2300-2800,不限
民办,广东工商职业技术大学,03,006,普通批,数字媒体技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,33800,星湖校区,2300-2800,不限
民办,广东工商职业技术大学,03,007,普通批,网络工程技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,33800,星湖校区,2300-2800,不限
民办,广东工商职业技术大学,03,047,普通批,网络工程技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,03,048,普通批,软件工程技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,03,049,普通批,软件工程技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,03,050,普通批,数字媒体技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,04,008,普通批,现代物流管理,政治 / 英语,管理学,市场营销学,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,04,019,普通批,现代物流管理,政治 / 英语,管理学,市场营销学,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,05,009,普通批,电子商务,政治 / 英语,管理学,电子商务概论,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,05,020,普通批,电子商务,政治 / 英语,管理学,电子商务概论,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,06,010,普通批,大数据与财务管理,政治 / 英语,管理学,基础会计学,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,06,011,普通批,大数据与会计,政治 / 英语,管理学,基础会计学,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,06,045,普通批,大数据与财务管理,政治 / 英语,管理学,基础会计学,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,06,046,普通批,大数据与会计,政治 / 英语,管理学,基础会计学,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,07,012,普通批,应用英语,政治 / 英语,大学语文,英语基础与写作,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,07,018,普通批,应用英语,政治 / 英语,大学语文,英语基础与写作,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,08,013,普通批,学前教育,政治 / 英语,教育理论,学前教育基础,统考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,09,014,普通批,环境艺术设计,政治 / 英语,艺术概论,设计基础,统考,34800,星湖校区,2800,不限
民办,广东工商职业技术大学,010,015,普通批,工程造价,政治 / 英语,管理学,新媒体文案策划与写作,校考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,011,016,普通批,网络与新媒体,政治 / 英语,大学语文,新媒体文案策划与写作,校考,33800,星湖校区,2800,不限
民办,广东工商职业技术大学,012,017,普通批,音乐表演,政治 / 英语,艺术概论,音乐技能考试,校考,35800,星湖校区,2800,不限
民办,广州华商学院,01,001,普通批,会计学,政治 / 英语,管理学,基础会计学,统考,34000,肇庆校区,3600,限招
民办,广州华商学院,01,002,普通批,财务管理,政治 / 英语,管理学,基础会计学,统考,34000,肇庆校区,3600,限招
民办,广州华商学院,01,003,普通批,审计学,政治 / 英语,管理学,基础会计学,统考,34000,肇庆校区,3600,限招
民办,广州华商学院,02,004,普通批,市场营销,政治 / 英语,管理学,市场营销学,统考,32500,肇庆校区,3600,不限
民办,广州华商学院,02,005,普通批,旅游管理,政治 / 英语,管理学,市场营销学,统考,32500,肇庆校区,3600,不限
民办,广州华商学院,02,006,普通批,工商管理,政治 / 英语,管理学,市场营销学,统考,32500,肇庆校区,3600,不限
民办,广州华商学院,02,007,普通批,国际商务,政治 / 英语,管理学,市场营销学,统考,32000,肇庆校区,3600,不限
民办,广州华商学院,03,008,普通批,行政管理,政治 / 英语,管理学,行政管理学,统考,32500,肇庆校区,3600,不限
民办,广州华商学院,04,009,普通批,人力资源管理,政治 / 英语,管理学,人力资源管理,统考,32500,肇庆校区,3600,不限
民办,广州华商学院,05,010,普通批,国际经济与贸易,政治 / 英语,经济学,国际贸易理论与实务,统考,32000,肇庆校区,3600,不限
民办,广州华商学院,05,011,普通批,经济统计学,政治 / 英语,经济学,国际贸易理论与实务,统考,32000,肇庆校区,3600,不限
民办,广州华商学院,05,012,普通批,数字经济,政治 / 英语,经济学,国际贸易理论与实务,统考,32000,肇庆校区,3600,不限
民办,广州华商学院,06,013,普通批,跨境电子商务,政治 / 英语,管理学,电子商务概论,统考,32000,肇庆校区,3600,不限
民办,广州华商学院,06,014,普通批,电子商务,政治 / 英语,管理学,电子商务概论,统考,32000,肇庆校区,3600,不限
民办,广州华商学院,07,015,普通批,金融学,政治 / 英语,经济学,金融学,统考,32800,肇庆校区,3600,不限
民办,广州华商学院,08,016,普通批,学前教育（师范）,政治 / 英语,教育理论,学前教育基础,统考,35000,肇庆校区,3600,不限
民办,广州华商学院,09,017,普通批,英语,政治 / 英语,大学语文,英语基础与写作,统考,34000,肇庆校区,3600,限招
民办,广州华商学院,10,018,普通批,汉语言文学,政治 / 英语,大学语文,汉语言文学学科基础,统考,34000,肇庆校区,3600,限招
民办,广州华商学院,11,019,普通批,新闻学,政治 / 英语,大学语文,汉语言文学学科基础,统考,34000,肇庆校区,3600,不限
民办,广州华商学院,11,020,普通批,广告学,政治 / 英语,大学语文,汉语言文学学科基础,统考,34000,肇庆校区,3600,不限
民办,广州华商学院,11,021,普通批,时尚传播,政治 / 英语,大学语文,汉语言文学学科基础,统考,34000,肇庆校区,3600,不限
民办,广州华商学院,12,022,普通批,动画,政治 / 英语,艺术概论,设计基础,统考,39000,肇庆校区,3600,不限
民办,广州华商学院,12,023,普通批,珠宝首饰设计与工艺,政治 / 英语,艺术概论,设计基础,统考,39000,肇庆校区,3600,不限
民办,广州华商学院,12,024,普通批,视觉传达设计,政治 / 英语,艺术概论,设计基础,统考,39000,肇庆校区,3600,不限
民办,广州华商学院,12,025,普通批,数字媒体艺术,政治 / 英语,艺术概论,设计基础,统考,39000,肇庆校区,3600,不限
民办,广州华商学院,12,026,普通批,环境设计,政治 / 英语,艺术概论,设计基础,统考,38000,肇庆校区,3600,不限
民办,广州华商学院,12,027,普通批,产品设计,政治 / 英语,艺术概论,设计基础,统考,38000,肇庆校区,3600,不限
民办,广州华商学院,13,028,普通批,健康服务与管理,政治 / 英语,管理学,市场营销学,统考,31000,广州校区,2000-4800,限招
民办,广州华商学院,13,029,普通批,医疗保险,政治 / 英语,管理学,市场营销学,统考,31000,广州校区,2000-4800,限招
民办,广州华商学院,14,030,普通批,计算机科学与技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,36000,广州校区,2000-4800,限招
民办,广州华商学院,14,031,普通批,软件工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,36000,广州校区,2000-4800,限招
民办,广州华商学院,15,032,普通批,会计学（国际会计班）,政治 / 英语,管理学,基础会计学,统考,43000,广州校区,2000-4800,限招
民办,广州华商学院,16,033,普通批,英语（涉外机构人才培养班）,政治 / 英语,大学语文,英语基础与写作,统考,43000,广州校区,2000-4800,限招
民办,广州华商学院,17,034,普通批,计算机科学与技术（计算机科学与国际化财经专业）,政治 / 英语,高等数学,计算机基础与程序设计,统考,43000,广州校区,2000-4800,限招
民办,广州华商学院,18,035,普通批,护理学,政治 / 英语,生理学,护理学基础,校考,35000,广州校区,2000-4800,限招
民办,广州华商学院,18,036,普通批,护理学（国际护理全英班）,政治 / 英语,生理学,护理学基础,校考,48000,广州校区,2000-4800,限招
民办,广州华商学院,19,037,普通批,化妆品科学与技术,政治 / 英语,生理学,微生物学,校考,35000,广州校区,2000-4800,限招
民办,广州华商学院,19,038,普通批,药学,政治 / 英语,生理学,微生物学,校考,35000,广州校区,2000-4800,限招
民办,广东白云学院,01,001,普通批,机械设计制造及其自动化,政治 / 英语,高等数学,机械工程基础,统考,32800,西校区,3500,限招
民办,广东白云学院,02,002,普通批,电气工程及其自动化,政治 / 英语,高等数学,电子技术基础,统考,32800,西校区,3500,限招
民办,广东白云学院,02,003,普通批,电子信息工程,政治 / 英语,高等数学,电子技术基础,统考,32800,西校区,3500,限招
民办,广东白云学院,03,004,普通批,人工智能,政治 / 英语,高等数学,计算机基础与程序设计,统考,32800,西校区,3500,限招
民办,广东白云学院,03,005,普通批,计算机科学与技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,32800,西校区,3500,限招
民办,广东白云学院,03,006,普通批,软件工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,32800,西校区,3500,限招
民办,广东白云学院,04,007,普通批,国际经济与贸易,政治 / 英语,经济学,国际贸易理论与实务,统考,31800,北校区,4500,不限
民办,广东白云学院,05,008,普通批,会计学,政治 / 英语,管理学,基础会计学,统考,31800,北校区,4500,限招
民办,广东白云学院,06,009,普通批,工商管理,政治 / 英语,管理学,市场营销学,统考,31800,北校区,4500,不限
民办,广东白云学院,06,010,普通批,市场营销,政治 / 英语,管理学,市场营销学,统考,31800,北校区,4500,不限
民办,广东白云学院,06,011,普通批,物流管理,政治 / 英语,管理学,市场营销学,统考,31800,北校区,4500,不限
民办,广东白云学院,07,012,普通批,社会工作,政治 / 英语,民法,法理学,统考,31800,北校区,4500,不限
民办,广东白云学院,08,013,普通批,人力资源管理,政治 / 英语,管理学,人力资源管理,统考,31800,北校区,4500,不限
民办,广东白云学院,09,014,普通批,跨境电子商务,政治 / 英语,管理学,电子商务概论,统考,31800,北校区,4500,不限
民办,广东白云学院,10,015,普通批,视觉传达设计,政治 / 英语,艺术概论,设计基础,统考,34800,北校区,4500,限招
民办,广东白云学院,10,016,普通批,艺术与科技,政治 / 英语,艺术概论,设计基础,统考,34800,北校区,4500,限招
民办,广东白云学院,10,017,普通批,艺术与科技,政治 / 英语,艺术概论,设计基础,统考,34800,北校区,4500,限招
民办,广东白云学院,10,018,普通批,数字媒体艺术,政治 / 英语,艺术概论,设计基础,统考,34800,北校区,4500,限招
民办,广东白云学院,17,019,普通批,商务英语,政治 / 英语,大学语文,英语基础与写作,统考,31800,北校区,4500,限招
民办,广东白云学院,11,020,普通批,英语,政治 / 英语,大学语文,英语基础与写作,统考,31800,北校区,4500,不限
民办,广东白云学院,12,021,普通批,学前教育,政治 / 英语,教育理论,学前教育基础,统考,31800,北校区,4500,不限
民办,广东白云学院,13,022,普通批,社会体育指导与管理,政治 / 英语,教育理论,体育概论,校考,31800,北校区,4500,限招
民办,广东白云学院,14,023,普通批,土木工程,政治 / 英语,高等数学,建筑材料,校考,32800,北校区,4500,限招
民办,广东白云学院,15,024,普通批,工程造价,政治 / 英语,管理学,工程项目管理,校考,31800,北校区,4500,限招
民办,广州新华学院,01,001,普通批,汉语言文学,政治 / 英语,大学语文,汉语言文学学科基础,统考,31980,东莞校区,3180,不限
民办,广州新华学院,02,002,普通批,英语,政治 / 英语,大学语文,英语基础与写作,统考,31980,东莞校区,3180,不限
民办,广州新华学院,03,003,普通批,商务英语,政治 / 英语,大学语文,英语基础与写作,统考,31980,东莞校区,3180,不限
民办,广州新华学院,04,004,普通批,法学,政治 / 英语,民法,法理学,统考,31980,东莞校区,3180,不限
民办,广州新华学院,05,005,普通批,社会工作,政治 / 英语,民法,社会工作综合能力,统考,29980,东莞校区,3180,不限
民办,广州新华学院,06,006,普通批,行政管理,政治 / 英语,管理学,行政管理学,统考,29980,东莞校区,3180,不限
民办,广州新华学院,07,007,普通批,公共关系学,政治 / 英语,管理学,行政管理学,统考,29980,东莞校区,3180,不限
民办,广州新华学院,08,008,普通批,人力资源管理,政治 / 英语,管理学,人力资源管理,统考,31980,东莞校区,3180,不限
民办,广州新华学院,09,009,普通批,工商管理,政治 / 英语,管理学,市场营销学,统考,31980,东莞校区,3180,不限
民办,广州新华学院,10,010,普通批,市场营销,政治 / 英语,管理学,市场营销学,统考,29980,东莞校区,3180,不限
民办,广州新华学院,10,011,普通批,电子商务,政治 / 英语,管理学,电子商务概论,统考,31980,东莞校区,3180,不限
民办,广州新华学院,11,012,普通批,物流管理,政治 / 英语,管理学,电子商务概论,统考,29980,东莞校区,3180,不限
民办,广州新华学院,11,013,普通批,会计学,政治 / 英语,管理学,基础会计学,统考,31980,东莞校区,3180,不限
民办,广州新华学院,12,014,普通批,审计学,政治 / 英语,管理学,基础会计学,统考,31980,东莞校区,3180,不限
民办,广州新华学院,13,015,普通批,财务管理,政治 / 英语,管理学,基础会计学,统考,31980,东莞校区,3180,不限
民办,广州新华学院,09,016,普通批,工商管理（创新班）,政治 / 英语,管理学,市场营销学,统考,31980,东莞校区,3180,不限
民办,广州新华学院,11,017,普通批,国际经济与贸易,政治 / 英语,经济学,国际贸易理论与实务,统考,31980,东莞校区,3180,不限
民办,广州新华学院,12,018,普通批,金融工程,政治 / 英语,经济学,金融学,统考,31980,东莞校区,3180,不限
民办,广州新华学院,12,019,普通批,经济学,政治 / 英语,经济学,金融学,统考,29980,东莞校区,3180,不限
民办,广州新华学院,12,020,普通批,投资学,政治 / 英语,经济学,金融学,统考,29980,东莞校区,3180,不限
民办,广州新华学院,12,021,普通批,经济统计学,政治 / 英语,经济学,金融学,统考,31980,东莞校区,3180,不限
民办,广州新华学院,12,022,普通批,税收学,政治 / 英语,经济学,金融学,统考,29980,东莞校区,3180,不限
民办,广州新华学院,12,023,普通批,互联网金融,政治 / 英语,经济学,金融学,统考,31980,东莞校区,3180,不限
民办,广州新华学院,13,024,普通批,计算机科学与技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,34980,东莞校区,3180,不限
民办,广州新华学院,14,025,普通批,软件工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,34980,东莞校区,3180,不限
民办,广州新华学院,15,026,普通批,电子信息科学与技术,政治 / 英语,高等数学,电子技术基础,统考,34980,东莞校区,3180,不限
民办,广州新华学院,16,027,普通批,电气工程及其自动化,政治 / 英语,高等数学,电子技术基础,统考,31980,东莞校区,3180,不限
民办,广州新华学院,17,028,普通批,数字媒体技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,31980,东莞校区,3180,不限
民办,广州新华学院,18,029,普通批,智能制造工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,31980,东莞校区,3180,不限
民办,广州新华学院,19,030,普通批,人工智能,政治 / 英语,高等数学,计算机基础与程序设计,统考,31980,东莞校区,3180,不限
民办,广州新华学院,20,031,普通批,人工智能（卓越创新班）,政治 / 英语,高等数学,计算机基础与程序设计,统考,34980,东莞校区,3180,不限
民办,广州新华学院,21,032,普通批,数据科学与大数据技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,34980,东莞校区,3180,不限
民办,广州新华学院,22,033,普通批,艺术设计学,政治 / 英语,艺术概论,设计基础,统考,31980,东莞校区,3180,不限
民办,广州新华学院,22,034,普通批,服装与服饰设计,政治 / 英语,艺术概论,设计基础,统考,31980,东莞校区,3180,不限
民办,广州新华学院,23,035,普通批,学前教育,政治 / 英语,教育理论,学前教育基础,统考,31980,东莞校区,3180,不限
民办,广州新华学院,24,036,普通批,网络与新媒体,政治 / 英语,大学语文,网络新闻采写,校考,31980,东莞校区,3180,不限
民办,广州新华学院,25,037,普通批,信息资源管理,政治 / 英语,管理学,信息资源管理,校考,31980,广州校区,2000-2300,不限
民办,广州新华学院,26,038,普通批,健康服务与管理,政治 / 英语,管理学,健康管理学,校考,31980,广州校区,2000-2300,不限
民办,广州新华学院,27,039,普通批,护理学,政治 / 英语,生理学,护理学基础,校考,31980,广州校区,2000-2300,限招
民办,广州新华学院,28,040,普通批,药学,政治 / 英语,生理学,药学综合,校考,31980,广州校区,2000-2300,限招
民办,广州新华学院,29,041,普通批,音乐学,政治 / 英语,艺术概论,音乐基础理论笔试+专业现场测试,校考,36980,东莞校区,3180,限招
民办,广州新华学院,30,042,普通批,自然地理与资源环境,政治 / 英语,高等数学,自然地理学,校考,31980,东莞校区,3180,不限
民办,广州新华学院,31,043,普通批,人文地理与城乡规划,政治 / 英语,高等数学,人文地理学,校考,31980,东莞校区,3180,不限
民办,广州新华学院,32,044,普通批,风景园林,政治 / 英语,高等数学,风景园林规划设计,校考,31980,东莞校区,3180,不限
民办,广州新华学院,33,045,普通批,休闲体育,政治 / 英语,教育理论,体育概论,校考,31980,东莞校区,3180,限招
民办,广州新华学院,34,046,普通批,康复治疗学,政治 / 英语,生理学,康复综合,校考,31980,广州校区,2000-2300,限招
民办,广州新华学院,35,047,普通批,听力与言语康复学,政治 / 英语,生理学,耳咽喉疾病概要,校考,31980,广州校区,2000-2300,限招
民办,广州新华学院,36,048,普通批,医学影像技术,政治 / 英语,生理学,医学影像物理学,校考,31980,广州校区,2000-2300,限招
民办,广州新华学院,37,049,普通批,生物医学工程,政治 / 英语,高等数学,模拟电子技术,校考,31980,广州校区,2000-2300,限招
民办,广东东软学院,01,001,普通批,软件工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,30800,佛山校区,3000,不限
民办,广东东软学院,01,002,普通批,网络工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,30800,佛山校区,3000,不限
民办,广东东软学院,02,003,普通批,计算机科学与技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,30800,佛山校区,3000,不限
民办,广东东软学院,02,004,普通批,数字媒体技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,30800,佛山校区,3000,不限
民办,广东东软学院,03,005,普通批,电子信息工程,政治 / 英语,高等数学,电子技术基础,统考,30800,佛山校区,3000,不限
民办,广东东软学院,04,006,普通批,财务管理,政治 / 英语,管理学,基础会计学,统考,30800,佛山校区,3000,不限
民办,广东东软学院,05,007,普通批,市场营销,政治 / 英语,管理学,市场营销学,统考,30800,佛山校区,3000,不限
民办,广东东软学院,05,008,普通批,工商管理,政治 / 英语,管理学,市场营销学,统考,30800,佛山校区,3000,不限
民办,广东东软学院,06,009,普通批,大数据管理与应用,政治 / 英语,高等数学,市场营销学,统考,30800,佛山校区,3000,不限
民办,广东东软学院,07,010,普通批,电子商务,政治 / 英语,管理学,电子商务概论,统考,30800,佛山校区,3000,不限
民办,广东东软学院,08,011,普通批,商务英语,政治 / 英语,大学语文,英语基础与写作,统考,30800,佛山校区,3000,不限
民办,广东东软学院,09,012,普通批,视觉传达设计,政治 / 英语,艺术概论,设计基础,统考,33800,佛山校区,3000,不限
民办,广东东软学院,09,013,普通批,环境设计,政治 / 英语,艺术概论,设计基础,统考,33800,佛山校区,3000,不限
民办,广东东软学院,10,014,普通批,动画,政治 / 英语,艺术概论,设计基础,统考,33800,佛山校区,3000,不限
民办,广东东软学院,10,015,普通批,数字媒体艺术,政治 / 英语,艺术概论,设计基础,统考,33800,佛山校区,3000,不限
民办,广州工商学院,01,001,普通批,电子信息工程,政治 / 英语,高等数学,电子技术基础,统考,33900,佛山校区,2900-6500,不限
民办,广州工商学院,01,002,普通批,通信工程,政治 / 英语,高等数学,电子技术基础,统考,33900,佛山校区,2800-6500,不限
民办,广州工商学院,02,003,普通批,软件工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,33900,佛山校区,2800-6500,不限
民办,广州工商学院,02,004,普通批,网络工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,33900,佛山校区,2800-6500,不限
民办,广州工商学院,02,005,普通批,数字媒体技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,33900,佛山校区,2800-6500,不限
民办,广州工商学院,02,006,普通批,数据科学与大数据技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,33900,佛山校区,2800-6500,不限
民办,广州工商学院,02,007,普通批,人工智能,政治 / 英语,高等数学,计算机基础与程序设计,统考,33900,佛山校区,2800-6500,不限
民办,广州工商学院,03,008,普通批,食品质量与安全,政治 / 英语,高等数学,食品分析,校考,33900,佛山校区,2800-6500,不限
民办,广州工商学院,03,009,普通批,食品营养与检验教育,政治 / 英语,高等数学,食品分析,校考,33900,佛山校区,2800-6500,不限
民办,广州工商学院,04,010,普通批,会计学,政治 / 英语,管理学,基础会计学,统考,32600,佛山校区,2800-6500,不限
民办,广州工商学院,04,011,普通批,财务管理,政治 / 英语,管理学,基础会计学,统考,32600,佛山校区,2800-6500,不限
民办,广州工商学院,04,012,普通批,审计学,政治 / 英语,管理学,基础会计学,统考,32600,佛山校区,2800-6500,不限
民办,广州工商学院,05,013,普通批,人力资源管理,政治 / 英语,管理学,人力资源管理,统考,32600,佛山校区,2800-6500,不限
民办,广州工商学院,06,014,普通批,工商管理,政治 / 英语,管理学,市场营销学,统考,33700,佛山校区,2800-6500,不限
民办,广州工商学院,07,015,普通批,物流管理,政治 / 英语,管理学,市场营销学,统考,33700,佛山校区,2800-6500,不限
民办,广州工商学院,07,016,普通批,大数据管理与应用,政治 / 英语,管理学,电子商务概论,统考,32600,佛山校区,2800-6500,不限
民办,广州工商学院,08,017,普通批,市场营销,政治 / 英语,管理学,市场营销学,统考,33700,广州校区,2200-6500,不限
